account,segment,strict_eligible,model,effort,calls,sessions,uncached,cached,output,reasoning,standard_usd,standard_eur,write_upper_eur,september6_reference_usd,unpriced_calls,different_reset_calls,missing_reset_calls
A05,3,1,gpt-5.6-sol,max,1843,21,8055278,218878720,831009,282326,174.64602,152.79616797900263,161.6055271216098,136.39278000000002,0,0,0
A05,3,1,gpt-5.6-sol,ultra,60,1,417745,8507648,45762,16504,7.715409,6.750139107611548,7.206990594925634,5.9892792,0,0,0
A05,6,0,gpt-5.6-sol,max,1125,2,3977591,166306816,358224,137055,113.788083,99.07538789725729,103.40450304745319,89.59757040000001,0,0,0
A05,6,1,gpt-5.6-sol,max,4447,26,22505160,632375296,2140375,651109,492.924698,429.1899851980844,453.6840644318676,385.7782584,0,0,0
A05,9,0,gpt-5.6-sol,max,270,1,737498,32923648,84402,20542,22.681374,19.646058033780857,20.44456171502815,17.8074912,0,0,0
A05,9,1,gpt-5.6-sol,max,21697,42,116695572,3009394944,11949110,3494957,2446.648632,2119.76278262139,2246.142376951429,1909.5224656,0,0,0
A05,10,0,gpt-5.6-sol,max,526,2,1592021,66204288,166650,48847,46.061749,39.76484263784934,41.48297475177229,36.1827992,0,0,0
A05,10,1,gpt-5.6-sol,max,25474,45,87727795,3386015104,10855917,3334746,2457.324037,2121.0533041381013,2215.706240179651,1922.4355616,0,0,0
A05,10,1,gpt-5.6-sol,ultra,175,1,731472,20100352,96160,20166,16.592336,14.333393227366967,15.123251554941259,12.8892288,0,0,0
A05,11,1,gpt-5.6-sol,max,13717,28,51975135,1853461376,6331642,2026499,1075.9179304,919.8155519469206,964.2477487658542,1075.9179304,0,0,0
A05,12,0,gpt-5.6-sol,max,1192,12,5427483,144768896,449520,163654,88.6078904,75.9669842249657,80.62017609739368,88.6078904,0,0,0
A05,12,1,gpt-5.6-luna,medium,5,2,101102,138496,397,207,0.02346672,0.020118930041152262,0.024452863511659807,0.02346672,0,0,0
A05,12,1,gpt-5.6-sol,max,24385,63,92943033,3385091328,10058096,3112730,1926.9705832,1652.0666865569272,1731.750356824417,1926.9705832,0,0,0
A05,12,1,gpt-5.6-terra,high,1,1,50885,0,25,14,0.10207,0.087508573388203,0.10932141632373113,0.10207,0,0,0
A05,13,0,gpt-5.6-sol,max,4080,13,14803738,557444992,1858743,675243,319.36780880000003,273.9579215250074,286.65727240706065,319.36780880000003,0,0,0
A05,13,1,gpt-5.5,medium,462,1,2028155,74240256,87996,9214,49.900783,42.85168140832975,42.85168140832975,49.900783,0,0,0
A05,13,1,gpt-5.6-sol,max,19472,67,70675859,2510810240,8168641,2679680,1450.400352,1244.2498226905363,1304.876192321278,1450.400352,0,0,0
A05,13,1,gpt-5.6-sol,ultra,133,1,378473,16914176,52407,14093,9.3277024,8.010049291541433,8.335058308286818,9.3277024,0,0,0
A05,13,1,gpt-5.6-terra,high,29,1,191633,2071808,13589,4135,0.9606956,0.8249854873336195,0.9072667239158436,0.9606956,0,0,0
A05,14,1,gpt-5.6-sol,max,24990,40,83676984,3301411456,10676218,3548439,1868.7968784,1605.0819190930174,1676.9508394743625,1868.7968784,0,0,0
A05,15,0,gpt-5.6-sol,max,183,1,673939,23781632,65442,21311,13.5172488,11.656820282856158,12.238002587099,13.5172488,0,0,0
A05,15,1,gpt-5.6-sol,max,6889,17,21484670,907959296,2396682,669737,497.05603840000003,427.8082292879724,446.3039529105764,497.05603840000003,0,0,0
A05,15,1,gpt-5.6-terra,high,127,2,507601,17857280,28923,5962,4.933734,4.237510950785881,4.455496435626557,4.933734,0,0,0
A05,16,0,gpt-5.6-sol,max,327,2,1311369,41998080,162121,60529,25.287128,21.8067678509831,22.937648327009313,25.287128,0,0,0
A05,16,1,gpt-5.5,medium,26,2,252027,2407168,8572,1842,2.720879,2.346394446360814,2.346394446360814,2.720879,0,0,0
A05,16,1,gpt-5.6-sol,max,25469,59,91845640,3361561600,10680896,3572783,1925.6251200000002,1660.5942738875476,1739.7988616764403,1925.6251200000002,0,0,0
A05,16,1,gpt-5.6-terra,high,34,1,654266,4661760,8684,354,2.345092,2.0223283890996897,2.3044368747844084,2.345092,0,0,0
A05,17,0,gpt-5.5,medium,5,1,317963,344960,1416,233,1.804775,1.5538312526904865,1.5538312526904865,1.804775,0,0,0
A05,17,0,gpt-5.6-sol,max,319,2,851397,42520960,144536,48593,23.304692,20.060772942671925,20.793671857424798,23.304692,0,0,0
A05,17,1,gpt-5.5,medium,331,1,1738026,53673088,87745,11938,38.159024,32.85322772277228,32.85322772277228,38.159024,0,0,0
A05,17,1,gpt-5.6-sol,max,19331,21,46047796,2601404672,7320884,2682794,1371.1707328,1180.4651529739826,1220.1083830130826,1371.1707328,0,0,0
A05,18,0,gpt-5.6-sol,max,1838,4,3911459,240438656,599472,205498,123.8107384,106.53135295129927,109.89691739803821,123.8107384,0,0,0
A05,18,1,gpt-5.6-sol,max,17083,25,45878712,2225514752,6227446,2326050,1198.2696688,1031.0356812940975,1070.511427293065,1198.2696688,0,0,0
A05,18,1,gpt-5.6-sol,ultra,105,1,533149,14204288,63239,35920,9.0790912,7.81198692135605,8.270728101875754,9.0790912,0,0,0
A05,19,1,gpt-5.6-luna,max,15,1,168678,2013696,23821,12418,0.10259472,0.08827630356220961,0.09553314403717089,0.10259472,0,0,0
A05,19,1,gpt-5.6-terra,high,131,2,610824,16587520,60358,17667,5.263448,4.528865943899501,4.791653760110137,5.263448,0,0,0
A05,19,1,gpt-6-astra,high,5861,20,16673142,748270848,1143808,186925,972.192668,836.5106418860782,872.3761168473585,972.192668,0,0,0
A05,19,1,gpt-6-astra,max,172,1,1487753,23184000,151068,75389,45.61493,39.248778179315096,42.449072879022545,45.61493,0,0,0
A06,2,1,gpt-5.6-sol,max,1758,16,5324026,222111232,575797,198086,154.949656,135.56400349956255,141.38642913385826,121.6565368,0,0,0
A06,2,1,gpt-5.6-sol,ultra,154,1,658915,19190528,35434,12866,13.952859,12.207225721784777,12.927823928258967,11.0205512,0,0,0
A06,6,0,gpt-5.6-sol,max,1258,4,3866056,164873088,388163,108356,89.17671920000001,76.73095783858201,80.05745585957668,89.17671920000001,0,0,0
A06,6,1,gpt-5.5,medium,217,1,1534171,34818432,60601,7295,26.898101,23.144124075030117,23.144124075030117,26.898101,0,0,0
A06,6,1,gpt-5.6-sol,max,20148,50,52680244,2638087680,8478631,3188346,1435.5286680000002,1235.1821270005164,1280.5101634830496,1435.5286680000002,0,0,0
A06,6,1,gpt-5.6-terra,high,402,4,1429447,51739392,114995,21532,14.5867124,12.5509485458613,13.16592316296679,14.5867124,0,0,0
A06,7,0,gpt-5.6-sol,max,1492,2,4750624,216708864,548675,157734,116.6595416,100.37819790053348,104.4658110480124,116.6595416,0,0,0
A06,7,1,gpt-5.6-luna,max,41,1,534698,5549312,55533,29848,0.28456544,0.2448506625365686,0.26785436241610744,0.28456544,0,0,0
A06,7,1,gpt-5.6-sol,max,25547,34,62051834,3512506496,10244310,3441729,1858.0961344,1598.7748532094306,1652.1665534331441,1858.0961344,0,0,0
A06,7,1,gpt-5.6-terra,high,180,2,792623,19646464,30758,6034,5.8836348,5.0624976768198255,5.4034987953880576,5.8836348,0,0,0
